"FurnisherName","Address","City","State","Zip","PhoneNumber","vextension","AccountCardType","vnote"
"700 CREDIT/DUBLIN HOND",null,null,null,null,null,null,null,null
"700 CREDIT/DYER KIA",null,null,null,null,null,null,null,null
"700 CREDIT/EARNHARDT H",null,null,null,null,null,null,null,null
"700 CREDIT/EDDYS CHEVR",null,null,null,null,null,null,null,null
"700 CREDIT/EIDE CHRYSL",null,null,null,null,null,null,null,null
"700 CREDIT/FELDMAN FOR",null,null,null,null,null,null,null,null
"700 CREDIT/FERMAN CHSL",null,null,null,null,null,null,null,null
"700 CREDIT/FERRARIO AU",null,null,null,null,null,null,null,null
"700 CREDIT/FIRST CITY",null,null,null,null,null,null,null,null
"700 CREDIT/FOWLER FORD",null,null,null,null,null,null,null,null
"700 CREDIT/FOWLER TOYO",null,null,null,null,null,null,null,null
"700 CREDIT/FOWLER VOLK",null,null,null,null,null,null,null,null
"700 CREDIT/FRED ANDERS",null,null,null,null,null,null,null,null
"700 CREDIT/FUN BIKE CE",null,null,null,null,null,null,null,null
"700 CREDIT/FUN TOWN RV",null,null,null,null,null,null,null,null
"700 CREDIT/GANDER RV S",null,null,null,null,null,null,null,null
"700 CREDIT/GERMAIN HYU",null,null,null,null,null,null,null,null
"700 CREDIT/GERMAIN LEX",null,null,null,null,null,null,null,null
"700 CREDIT/GERRY WOOD",null,null,null,null,null,null,null,null
"700 CREDIT/GREENS TOYO",null,null,null,null,null,null,null,null
"700 CREDIT/GRETNA AUTO",null,null,null,null,null,null,null,null
"700 CREDIT/GRIFFITH FO",null,null,null,null,null,null,null,null
"700 CREDIT/HAYES AUTO",null,null,null,null,null,null,null,null
"700 CREDIT/HELFMAN DOD",null,null,null,null,null,null,null,null
"700 CREDIT/HENNESSY JA",null,null,null,null,null,null,null,null
"700 CREDIT/HERITAGE NI",null,null,null,null,null,null,null,null
"700 CREDIT/HI LO KONA",null,null,null,null,null,null,null,null
"700 CREDIT/HOLIDAY WOR",null,null,null,null,null,null,null,null
"700 CREDIT/HOMETOWN CH",null,null,null,null,null,null,null,null
"700 CREDIT/HONDA OF RE",null,null,null,null,null,null,null,null
"700 CREDIT/HUDIBERG FO",null,null,null,null,null,null,null,null
"700 CREDIT/HUDSON NISS",null,null,null,null,null,null,null,null
"700 CREDIT/HUNTINGTON",null,null,null,null,null,null,null,null
"700 CREDIT/HYUNDAI OF",null,null,null,null,null,null,null,null
"700 CREDIT/INFINITI OF",null,null,null,null,null,null,null,null
"700 CREDIT/IRWIN HYUND",null,null,null,null,null,null,null,null
"700 CREDIT/JENKINS NIS",null,null,null,null,null,null,null,null
"700 CREDIT/JIM COLEMAN",null,null,null,null,null,null,null,null
"700 CREDIT/JIM GLOVER",null,null,null,null,null,null,null,null
"700 CREDIT/JOE COOPER",null,null,null,null,null,null,null,null
"700 CREDIT/KENDALL HON",null,null,null,null,null,null,null,null
"700 CREDIT/KOONS OF WO",null,null,null,null,null,null,null,null
"700 CREDIT/KOONS TOYOT",null,null,null,null,null,null,null,null
"700 CREDIT/LAKELAND CH",null,null,null,null,null,null,null,null
"700 CREDIT/LAKELAND HY",null,null,null,null,null,null,null,null
"700 CREDIT/LANDERS MCL",null,null,null,null,null,null,null,null
"700 CREDIT/LANDMARK CH",null,null,null,null,null,null,null,null
"700 CREDIT/LAZYDAYS RV",null,null,null,null,null,null,null,null
"700 CREDIT/LEIF JOHNSO",null,null,null,null,null,null,null,null
"700 CREDIT/LEVEL UP AU",null,null,null,null,null,null,null,null
"700 CREDIT/LITTLE M CA",null,null,null,null,null,null,null,null
"700 CREDIT/LUBBERS CHE",null,null,null,null,null,null,null,null
"700 CREDIT/LUXURY CARS",null,null,null,null,null,null,null,null
"700 CREDIT/MERCHANTS A",null,null,null,null,null,null,null,null
"700 CREDIT/MIDLAND TOY",null,null,null,null,null,null,null,null
"700 CREDIT/MIKE MURPHY",null,null,null,null,null,null,null,null
"700 CREDIT/MIKE REICHE",null,null,null,null,null,null,null,null
